chrom,start,end,window_id,n_l1,mean_l1_divergence,n_young_l1,n_genes
chr4,117842097,118061460,w172,28,178.786,13,2
chr19,33036194,33255557,w173,18,189.889,7,0
chr2,211078186,211297549,w174,33,153.455,12,2
chr1,189941452,190160815,w175,55,193.218,16,1
chr7,42688114,42907477,w176,42,189.643,12,1
chr22,3685386,3904749,w177,56,185.375,20,1
chr17,40143558,40362921,w178,27,186.296,1,4
chr13,78859569,79078932,w179,46,172.174,15,1
chr17,32028480,32247843,w180,62,186.306,9,3
chr17,83606349,83825712,w181,36,233.944,4,2
chr8,86703944,86923307,w182,55,162.964,19,1
chr5,170867161,171086524,w183,27,194.963,7,4
chr14,90215616,90434979,w184,44,198.659,10,2
chr11,70928949,71148312,w185,40,218.65,5,0
chr6,155432265,155651628,w186,41,195.707,5,2
chr2,119220648,119440011,w187,43,189.419,9,2
chr13,90491890,90711253,w188,32,169.75,9,8
chr4,102823142,103042505,w189,35,199.114,11,4
chr19,50845440,51064803,w190,104,160.202,50,7
chr4,135949256,136168619,w191,61,194.049,14,0
chr2,85439469,85658832,w192,33,202.788,3,9
chr15,30856215,31075578,w193,36,190.028,7,2
chr2,187536294,187755657,w194,50,172.82,16,0
chr3,193494667,193714030,w195,49,212.245,8,3
chr10,52442042,52661405,w196,35,155.771,13,1
chr17,71908258,72127621,w197,57,172.947,19,1
chr3,115745849,115965212,w198,44,180.068,12,2
chr5,163143762,163363125,w199,45,134.978,21,0
chr14,95051491,95270854,w200,24,209.917,5,72
chr21,36280273,36499636,w201,53,168.038,13,1
chr8,18116120,18335483,w202,37,194.351,10,2
chr2,123037795,123257158,w203,52,200.962,12,0
chr1,230972607,231191970,w204,39,145.077,15,2
chr3,115764674,115984037,w205,47,178.34,12,2
chr2,24339934,24559297,w206,61,191.295,7,2
chr11,82702863,82922226,w207,50,169.76,17,3
chr2,225440293,225659656,w208,42,198.429,8,2
chr8,69029021,69248384,w209,37,178.703,10,0
chr12,113948897,114168260,w210,38,184.447,8,0
chr9,2828478,3047841,w211,48,197.083,12,1
chr3,126135112,126354475,w212,46,198.63,3,4
chr15,97611981,97831344,w213,51,196.098,11,0
chr12,17840801,18060164,w214,49,203.918,12,1
chr13,59572646,59792009,w215,39,187.128,9,1
chr2,24374941,24594304,w216,67,191.522,10,2
chr2,100872835,101092198,w217,34,190.441,8,4
chr19,45244649,45464012,w218,40,174.45,12,5
chr6,148436740,148656103,w219,49,205.51,6,0
chr4,168750056,168969419,w220,36,177.167,12,0
chr8,114617656,114837019,w221,56,175.125,20,0
chr11,115693730,115913093,w222,38,192.105,8,2
chr20,30760216,30979579,w223,26,114.769,19,0
chr4,153731715,153951078,w224,47,173.085,12,2
chr19,48620744,48840107,w225,22,224.5,0,9
chr1,144533436,144752799,w226,67,192.896,16,3
chr9,3896158,4115521,w227,35,208.857,5,1
chr11,36966083,37185446,w228,40,172.075,9,0
chr2,120067904,120287267,w229,70,207.771,7,2
chr2,167415342,167634705,w230,61,188.951,21,1
chr6,14061801,14281164,w231,22,193.182,3,1
chr20,23169887,23389250,w232,41,172.659,13,1
chr10,45309197,45528560,w233,62,181.774,16,0
chr19,8653194,8872557,w234,38,242.316,4,3
chr15,44486890,44706253,w235,55,205.036,12,0
chr7,119822982,120042345,w236,73,189.37,19,0
chr14,100506131,100725494,w237,91,215.198,25,1
chr1,203370333,203589696,w238,14,165.714,5,5
chr2,206625549,206844912,w239,47,184.787,7,7
chr15,36957216,37176579,w240,39,165.462,12,1
chr14,81392142,81611505,w241,36,185.5,9,0
chr3,134695488,134914851,w242,48,159.625,19,2
chr8,48078186,48297549,w243,50,188.84,8,1
chr10,53346611,53565974,w244,46,187.326,15,0
chr17,66707873,66927236,w245,78,204.577,13,0
chr10,27926272,28145635,w246,53,192.566,10,2
chr6,126526343,126745706,w247,34,186.206,6,0
chr6,89606257,89825620,w248,51,180.902,10,1
chr6,29174716,29394079,w249,72,183.375,20,10
chr11,56517511,56736874,w250,60,163.0,27,8
chr17,53342756,53562119,w251,41,186.439,14,0
chr7,86037660,86257023,w252,49,189.163,15,0
chr4,1179513,1398876,w253,38,223.263,2,7
chr3,164793643,165013006,w254,46,195.783,11,0
chr13,82337911,82557274,w255,56,184.411,17,0
chr15,29708331,29927694,w256,95,205.305,11,1
chr2,143456935,143676298,w257,40,211.925,10,1
chr1,162819245,163038608,w258,46,187.87,8,0
chr10,28927897,29147260,w259,37,193.919,11,0
chr2,135160035,135379398,w260,57,183.982,14,5
chr15,11936069,12155432,w261,0,,0,0
chr5,115685301,115904664,w262,60,208.083,5,3
chr2,209406917,209626280,w263,58,166.931,22,0
chr18,7071516,7290879,w264,48,203.625,1,3
chr2,227227316,227446679,w265,33,178.091,8,2
chr4,31317706,31537069,w266,41,183.463,12,1
chr2,113649522,113868885,w267,27,209.593,3,4
chr2,77320508,77539871,w268,35,213.886,7,1
chr1,36036100,36255463,w269,25,182.12,3,4
chr1,93463199,93682562,w270,30,193.4,4,1
chr3,75999086,76218449,w271,43,178.116,14,0
chr1,241105536,241324899,w272,58,207.966,7,1
chr10,77104650,77324013,w273,36,193.806,9,0
chr12,39164433,39383796,w274,23,202.348,4,0
chr6,15719903,15939266,w275,30,176.1,11,1
chr5,130940635,131159998,w276,78,176.282,27,0
chr8,138665478,138884841,w277,47,186.596,13,0
chr17,3424288,3643651,w278,25,206.68,3,9
chr16,94012607,94231970,w279,35,232.429,2,3
chr1,13808281,14027644,w280,32,178.25,9,1
chr3,92060840,92280203,w281,0,,0,0
chr3,153326408,153545771,w282,50,207.08,5,5
chr4,189597299,189816662,w283,47,195.298,11,1
chr9,12595460,12814823,w284,33,198.424,4,2
chr6,147418668,147638031,w285,47,187.319,10,0
chr1,89478155,89697518,w286,33,178.333,9,3
chr6,152155619,152374982,w287,41,203.439,3,2
chr8,143663643,143883006,w288,19,244.632,0,8
chr2,110497568,110716931,w289,56,187.321,18,7
chr16,89712210,89931573,w290,39,217.795,6,2
chr1,125807602,126026965,w291,0,,0,0
chr19,22297105,22516468,w292,36,188.306,16,2
chr2,93164707,93384070,w293,0,,0,0
chr16,15476194,15695557,w294,34,200.559,3,5
chr18,52099044,52318407,w295,50,201.8,9,0
chr21,18785005,19004368,w296,52,191.0,13,0
chr15,51709724,51929087,w297,49,168.041,15,1
chr14,98995867,99215230,w298,34,219.176,1,8
chr11,77993222,78212585,w299,30,191.567,5,7
chr14,37885182,38104545,w300,61,191.475,19,0
chr2,132407472,132626835,w301,52,209.846,15,2
chr9,102726205,102945568,w302,54,204.389,10,2
chr8,99845030,100064393,w303,56,196.375,9,2
chr16,29648561,29867924,w304,33,204.03,5,10
chr7,42389126,42608489,w305,65,207.862,11,1
chr6,103933451,104152814,w306,63,189.46,25,0
chr11,114343764,114563127,w307,57,196.719,7,4
chr4,17420466,17639829,w308,47,189.17,9,4
chr2,92203839,92423202,w309,19,184.316,3,0
chr7,44534700,44754063,w310,58,200.172,6,4
chr6,104531085,104750448,w311,55,188.855,15,0
chr3,157989754,158209117,w312,49,160.694,19,2
chr5,119502962,119722325,w313,34,168.676,9,4
chr5,39091062,39310425,w314,47,200.681,9,2
chr5,114756305,114975668,w315,39,176.897,17,1
chr6,131817940,132037303,w316,46,174.522,8,1
chr12,49036746,49256109,w317,26,183.231,2,8
chr4,106202787,106422150,w318,58,163.052,24,3
chr20,8561667,8781030,w319,59,192.983,13,0
chr18,25503901,25723264,w320,40,195.725,7,1
chr7,105005071,105224434,w321,40,132.8,17,0
chr5,101718222,101937585,w322,67,203.866,19,0
chr9,148462269,148681632,w323,23,217.435,3,10
chr16,39243293,39462656,w324,30,229.2,2,0
chr11,107781672,108001035,w325,31,188.419,5,2
chr15,98993497,99212860,w326,47,213.021,4,5
chr8,61071967,61291330,w327,29,180.31,6,1
chr11,16303540,16522903,w328,43,203.326,4,1
chr4,188195616,188414979,w329,53,188.396,8,6
chr13,14824992,15044355,w330,0,,0,0
chr3,102652179,102871542,w331,45,190.356,6,3
chr12,20752269,20971632,w332,54,177.019,26,0
chr16,94546378,94765741,w333,32,219.719,3,8
chr2,7506238,7725601,w334,38,198.132,7,0
chr10,4540455,4759818,w335,53,204.094,13,2
chr2,81254606,81473969,w336,58,206.655,19,1
chr13,97407127,97626490,w337,47,198.723,2,1
chr1,10854086,11073449,w338,22,195.636,3,1
chr19,524987,744350,w339,18,258.5,0,10
chr2,14644312,14863675,w340,28,156.286,12,1
chr20,35104458,35323821,w341,37,201.73,4,3
chr15,59723432,59942795,w342,54,172.537,17,3
chr10,54992811,55212174,w343,36,177.806,13,0
chr14,58417281,58636644,w344,40,201.975,2,4
chr14,10472649,10692012,w345,0,,0,0
chr20,8660561,8879924,w346,43,201.907,7,1
chr4,139666994,139886357,w347,43,210.698,11,0
chr10,66896080,67115443,w348,48,192.146,8,0
chr2,219706766,219926129,w349,29,213.207,0,15
chr10,79562705,79782068,w350,30,242.133,2,0
chr3,122763603,122982966,w351,40,176.375,9,2
chr9,35854143,36073506,w352,64,207.469,7,7
chr9,131184096,131403459,w353,38,180.026,11,0
chr7,139076553,139295916,w354,34,213.412,7,3
chr8,1902738,2122101,w355,37,199.622,10,0
chr14,60039580,60258943,w356,31,170.871,9,0
chr15,86712541,86931904,w357,56,204.607,4,2
chr8,115262728,115482091,w358,54,184.167,21,0
chr10,45398350,45617713,w359,68,198.75,11,0
chr19,24065959,24285322,w360,28,188.929,13,2
chr2,70010526,70229889,w361,46,187.935,7,5
chr2,200969550,201188913,w362,44,186.614,6,4
chr2,73167489,73386852,w363,54,214.685,4,6
chr11,104464643,104684006,w364,58,183.517,21,1
chr6,154830007,155049370,w365,54,199.167,18,0
chr14,69604414,69823777,w366,27,208.63,3,5
chr11,38947723,39167086,w367,58,189.517,21,0
chr5,67851532,68070895,w368,34,209.353,6,1
chr18,70868248,71087611,w369,45,158.756,17,1
chr13,103686855,103906218,w370,36,177.639,13,0
chr4,109118502,109337865,w371,41,179.634,11,3
chr5,90022537,90241900,w372,36,172.556,13,0
chr5,101480866,101700229,w373,65,172.615,24,0
chr2,141608847,141828210,w374,40,188.125,15,0
chr2,118162367,118381730,w375,48,108.688,25,2
chr19,14368500,14587863,w376,23,202.913,2,5
chr7,115712118,115931481,w377,28,161.464,9,1
chr6,120493507,120712870,w378,38,174.5,8,2
chr13,8307907,8527270,w379,14,287.714,10,0
chr9,10193338,10412701,w380,47,193.043,11,0
chr19,31196306,31415669,w381,54,165.463,30,1
chr14,61119379,61338742,w382,42,147.929,14,0
chr7,142123141,142342504,w383,71,208.648,5,2
chr6,38727690,38947053,w384,37,212.432,5,4
chr22,22096426,22315789,w385,55,197.218,1,2
chr12,41364792,41584155,w386,34,200.735,8,1
chr20,64940483,65159846,w387,24,262.167,0,9
chr2,161030985,161250348,w388,55,173.255,15,0
chr16,55958252,56177615,w389,45,199.311,3,3
chr11,8959300,9178663,w390,30,180.7,2,11
chr2,168293148,168512511,w391,32,187.875,7,1
chr10,50276694,50496057,w392,36,220.167,1,4
chr12,84579672,84799035,w393,37,185.703,14,0
chr1,19091931,19311294,w394,24,211.875,0,6
chr7,91012013,91231376,w395,63,187.794,18,0
chr15,19351243,19570606,w396,37,195.595,7,0
chr4,183152291,183371654,w397,57,197.316,22,0
chr7,21785680,22005043,w398,57,177.193,12,0
chr7,40569291,40788654,w399,44,214.159,5,1
chr4,81356218,81575581,w400,46,185.457,14,1
chr18,38531619,38750982,w401,31,218.839,5,0
chr14,89646174,89865537,w402,30,221.433,2,5
chr2,207345012,207564375,w403,35,165.057,10,1
chr22,10385149,10604512,w404,38,163.447,19,0
chr17,44141853,44361216,w405,26,185.192,6,5
chr4,166676391,166895754,w406,39,174.872,15,4
chr16,50302308,50521671,w407,0,,0,0
chr2,72621544,72840907,w408,72,190.0,14,1
chr22,23908546,24127909,w409,40,200.65,8,4
chr11,19298582,19517945,w410,37,189.189,9,4
chr11,64645664,64865027,w411,15,210.533,2,7
chr2,128527928,128747291,w412,61,218.049,0,1
chr18,16757900,16977263,w413,0,,0,0
chr1,88033417,88252780,w414,30,191.833,9,0
chr4,54685425,54904788,w415,0,,0,0
chr2,232658844,232878207,w416,33,216.0,4,3
chr14,4838389,5057752,w417,17,187.235,3,0
chr3,152513997,152733360,w418,85,194.518,10,4
chr18,16978031,17197394,w419,0,,0,0
chr11,49827186,50046549,w420,45,168.933,15,0
chr1,171798209,172017572,w421,26,236.269,3,4
chr1,213882429,214101792,w422,55,172.273,20,0
chr1,6038662,6258025,w423,24,220.625,3,9
chr10,15667798,15887161,w424,35,185.829,6,2
chr15,36688956,36908319,w425,61,182.393,22,0
chr3,100456095,100675458,w426,34,192.794,9,3
chr16,93251780,93471143,w427,54,231.667,3,6
chr1,136238351,136457714,w428,0,,0,0
chr15,56553880,56773243,w429,34,199.676,2,4
chr19,53089340,53308703,w430,113,179.434,44,14
chr14,53930285,54149648,w431,51,193.412,10,2
chr12,34022486,34241849,w432,22,184.0,7,0
chr16,19605018,19824381,w433,32,201.469,2,3
chr1,120974653,121194016,w434,44,210.591,3,8
chr3,60876969,61096332,w435,42,186.024,10,0
chr2,60712024,60931387,w436,46,192.522,4,3
chr8,61344201,61563564,w437,45,181.711,12,1
chr13,33805722,34025085,w438,41,191.683,6,1
chr10,68531992,68751355,w439,55,178.055,15,3
chr16,88384089,88603452,w440,39,181.769,12,0
chr2,110229991,110449354,w441,48,199.292,6,3
chr13,21564863,21784226,w442,61,175.984,20,0
chr3,87264633,87483996,w443,47,173.426,14,3
chr4,131720171,131939534,w444,36,186.472,10,1
chr12,115746858,115966221,w445,64,182.781,14,0
chr21,28736826,28956189,w446,41,191.073,10,15
chr10,77929131,78148494,w447,30,211.733,1,1
chr1,114601605,114820968,w448,38,191.105,5,5
chr10,74818113,75037476,w449,38,197.079,1,3
chr1,203542795,203762158,w450,24,204.167,1,4
chr17,25733594,25952957,w451,0,,0,0
chr12,97780364,97999727,w452,35,184.0,11,2
chr3,145294939,145514302,w453,54,179.833,10,3
chr2,174513615,174732978,w454,47,201.702,1,2
chr3,118256999,118476362,w455,18,150.778,9,1
chr21,5391522,5610885,w456,17,282.647,12,1
chr7,149181203,149400566,w457,37,211.73,8,0
chr14,99223211,99442574,w458,44,237.318,0,8
chr11,120380891,120600254,w459,36,198.417,2,2
chr9,137843471,138062834,w460,38,204.421,1,3
chr2,209942437,210161800,w461,28,171.857,8,1
chr20,15225334,15444697,w462,40,200.95,5,1
chr4,31526103,31745466,w463,40,197.525,14,0
chr9,14939280,15158643,w464,49,190.122,9,1
chr12,12168550,12387913,w465,35,183.971,3,3
chr11,101050565,101269928,w466,44,182.477,13,2
chr19,18604388,18823751,w467,15,222.667,0,9
chr2,79812111,80031474,w468,26,168.923,7,1
chr8,110177184,110396547,w469,51,171.0,12,1
chr6,32932415,33151778,w470,16,152.5,4,21
chr7,94006588,94225951,w471,48,185.875,8,2
chr2,157861003,158080366,w472,49,171.898,12,2
chr2,79478027,79697390,w473,39,200.436,9,3
chr4,93049011,93268374,w474,40,179.0,7,3
chr4,93037793,93257156,w475,42,175.833,8,3
chr7,99360181,99579544,w476,37,206.027,4,3
chr10,71489794,71709157,w477,32,195.875,3,3
chr11,49495717,49715080,w478,51,194.843,17,0
chr6,152857597,153076960,w479,54,160.407,17,1
chr6,136505686,136725049,w480,40,208.35,9,2
chr3,123591814,123811177,w481,73,157.384,36,2
chr10,64023840,64243203,w482,42,207.095,5,2
chr5,86222340,86441703,w483,51,174.667,24,0
chr1,114298849,114518212,w484,46,209.348,3,1
chr6,110068718,110288081,w485,40,193.175,7,3
chr7,125716840,125936203,w486,60,181.983,18,1
chr3,52219240,52438603,w487,18,202.833,2,12
chr9,102085998,102305361,w488,48,210.833,5,3
chr9,95693105,95912468,w489,61,183.836,12,3
chr12,57793876,58013239,w490,47,149.362,18,5
chr11,15172593,15391956,w491,36,187.417,10,2
chr11,79901352,80120715,w492,37,188.838,13,0
chr5,7108240,7327603,w493,53,195.849,10,3
chr14,97232592,97451955,w494,33,222.091,0,6
chr9,92583003,92802366,w495,54,182.87,16,0
chr7,35442381,35661744,w496,47,202.83,8,1
chr10,96668208,96887571,w497,57,166.684,16,1
chr5,104546679,104766042,w498,40,212.5,7,0
chr8,84625140,84844503,w499,36,188.278,10,1
chr13,61729212,61948575,w500,34,199.588,7,0
chr17,65384347,65603710,w501,47,201.979,5,1
chr18,58997191,59216554,w502,30,203.067,1,3
chr8,59870241,60089604,w503,58,196.879,16,0
chr8,104795583,105014946,w504,61,178.574,19,1
chr15,32043959,32263322,w505,55,207.182,7,5
chr5,91438522,91657885,w506,41,159.902,15,0
chr16,20005230,20224593,w507,40,176.1,8,1
chr8,26730958,26950321,w508,52,204.385,4,2
chr2,20139506,20358869,w509,36,224.0,2,2
chr1,158182769,158402132,w510,37,172.459,11,4
chr16,81624884,81844247,w511,49,181.755,7,6
chr1,137519524,137738887,w512,0,,0,0
chr4,77269612,77488975,w513,40,185.35,11,7
chr5,109648585,109867948,w514,45,176.311,14,1
chr3,171416849,171636212,w515,50,184.02,13,0
chr5,113796662,114016025,w516,43,165.233,14,2
chr13,99615159,99834522,w517,51,202.588,3,2
chr1,28809379,29028742,w518,30,191.567,3,2
chr15,8769617,8988980,w519,0,,0,0
chr16,10234004,10453367,w520,31,181.484,6,1
chr6,112010751,112230114,w521,41,200.341,3,5
chr2,87098690,87318053,w522,48,201.042,4,2
chr10,9247620,9466983,w523,57,211.456,8,2
chr2,193610623,193829986,w524,67,203.119,15,0
chr5,152634656,152854019,w525,44,169.5,13,0
chr20,23051717,23271080,w526,35,198.286,6,4
chr22,31889887,32109250,w527,49,214.959,2,4
chr14,88696590,88915953,w528,29,208.0,6,6
chr5,151898411,152117774,w529,47,199.34,5,2
chr12,101931954,102151317,w530,48,201.708,4,3
chr12,24667125,24886488,w531,40,191.725,3,3
chr6,63404037,63623400,w532,53,171.094,23,1
chr11,8993019,9212382,w533,37,176.243,3,11
chr1,106187171,106406534,w534,52,182.25,19,0
chr3,114408899,114628262,w535,40,170.95,10,1
chr8,118273740,118493103,w536,51,182.078,12,0
chr2,27972112,28191475,w537,67,183.836,13,1
chr2,28847767,29067130,w538,48,202.312,3,7
chr16,33301104,33520467,w539,53,211.472,13,1
chr22,17507666,17727029,w540,54,159.519,22,3
chr9,134671656,134891019,w541,105,155.771,42,10
chr16,73942863,74162226,w542,32,217.656,1,6
chr22,19655781,19875144,w543,62,208.661,3,6
chr2,9969226,10188589,w544,37,228.135,0,5
chr7,47460845,47680208,w545,33,201.697,7,1
chr6,166492560,166711923,w546,45,203.711,9,1
chr1,97168545,97387908,w547,45,186.422,12,0
chr13,809730,1029093,w548,0,,0,0
chr7,53547095,53766458,w549,68,215.721,14,0
chr7,73651563,73870926,w550,61,213.279,5,1
chr2,236461347,236680710,w551,28,239.286,2,1
chr3,121085797,121305160,w552,51,202.314,11,0
chr18,74057881,74277244,w553,38,183.237,6,0
chr1,581491,800854,w554,6,246.5,0,24
chr3,81300172,81519535,w555,38,182.684,9,0
chr4,190563847,190783210,w556,53,203.528,10,2
chr8,80480460,80699823,w557,49,171.143,6,3
chr10,21707865,21927228,w558,49,195.02,11,0
