category,mouse_symbol,human_symbol,mapping_path,in_our_background
L1-enriched genes,Aco1,ACO1,mgi_ortholog,True
L1-enriched genes,Acsm1,ACSM1,mgi_ortholog,True
L1-enriched genes,Acss3,ACSS3,mgi_ortholog,True
L1-enriched genes,Adam22,ADAM22,mgi_ortholog,True
L1-enriched genes,Adam25,ADAM20,mgi_ortholog,True
L1-enriched genes,Adam26a,,unmapped,False
L1-enriched genes,Adam26b,,unmapped,False
L1-enriched genes,Adam29,ADAM29,mgi_ortholog,True
L1-enriched genes,Adam34,,unmapped,False
L1-enriched genes,Adam6b,,unmapped,False
L1-enriched genes,Adam7,ADAM7,mgi_ortholog,True
L1-enriched genes,Adamts3,ADAMTS3,mgi_ortholog,True
L1-enriched genes,Adamts6,ADAMTS6,mgi_ortholog,True
L1-enriched genes,Adamts9,ADAMTS9,mgi_ortholog,True
L1-enriched genes,Adgre1,ADGRE1,mgi_ortholog,True
L1-enriched genes,Adh7,ADH7,mgi_ortholog,True
L1-enriched genes,Adtrp,ADTRP,mgi_ortholog,True
L1-enriched genes,Afm,AFM,mgi_ortholog,True
L1-enriched genes,Agbl1,AGBL1,mgi_ortholog,True
L1-enriched genes,Agtr1b,AGTR1,mgi_ortholog,True
L1-enriched genes,Aifm1,AIFM1,mgi_ortholog,True
L1-enriched genes,Akap7,AKAP7,mgi_ortholog,True
L1-enriched genes,Akip1,AKIP1,mgi_ortholog,True
L1-enriched genes,Akr1c13,,unmapped,False
L1-enriched genes,Akr1c14,,unmapped,False
L1-enriched genes,Akr1c20,,unmapped,False
L1-enriched genes,Akr1c6,,unmapped,False
L1-enriched genes,Ambn,AMBN,mgi_ortholog,True
L1-enriched genes,Amd2,AMD1,mgi_ortholog,True
L1-enriched genes,Ang6,ANG,mgi_ortholog,True
L1-enriched genes,Ankar,ANKAR,mgi_ortholog,True
L1-enriched genes,Ankrd26,ANKRD26,mgi_ortholog,True
L1-enriched genes,Ankrd32,,unmapped,False
L1-enriched genes,Antxr2,ANTXR2,mgi_ortholog,True
L1-enriched genes,Anxa10,ANXA10,mgi_ortholog,True
L1-enriched genes,Apoo-ps,,unmapped,False
L1-enriched genes,Arhgap20,ARHGAP20,mgi_ortholog,True
L1-enriched genes,Arhgef4,ARHGEF4,mgi_ortholog,True
L1-enriched genes,Arhgef9,ARHGEF9,mgi_ortholog,True
L1-enriched genes,Arl6,ARL6,mgi_ortholog,True
L1-enriched genes,Armc1,ARMC1,mgi_ortholog,True
L1-enriched genes,Asb14,ASB14,mgi_ortholog,True
L1-enriched genes,Asb3,ASB3,symbol_upcase,True
L1-enriched genes,Asnsd1,ASNSD1,mgi_ortholog,True
L1-enriched genes,Atg16l1,ATG16L1,mgi_ortholog,True
L1-enriched genes,Atg3,ATG3,mgi_ortholog,True
L1-enriched genes,Atp8b4,ATP8B4,mgi_ortholog,True
L1-enriched genes,BC003331,,unmapped,False
L1-enriched genes,BC048679,,unmapped,False
L1-enriched genes,Bbs9,BBS9,mgi_ortholog,True
L1-enriched genes,Bcl2l14,BCL2L14,mgi_ortholog,True
L1-enriched genes,Bet1,BET1,mgi_ortholog,True
L1-enriched genes,Boll,BOLL,mgi_ortholog,True
L1-enriched genes,Brinp3,BRINP3,mgi_ortholog,True
L1-enriched genes,Brms1l,BRMS1L,mgi_ortholog,True
L1-enriched genes,Bsph1,BSPH1,mgi_ortholog,True
L1-enriched genes,Bsph2,,unmapped,False
L1-enriched genes,Bub1,BUB1,mgi_ortholog,True
L1-enriched genes,C330013J21Rik,,unmapped,False
L1-enriched genes,CN725425,,unmapped,False
L1-enriched genes,Cachd1,CACHD1,mgi_ortholog,True
L1-enriched genes,Cacna2d4,CACNA2D4,mgi_ortholog,True
L1-enriched genes,Caps2,CAPS2,mgi_ortholog,True
L1-enriched genes,Car13,,unmapped,False
L1-enriched genes,Casp12,CASP12,mgi_ortholog,True
L1-enriched genes,Casp4,CASP4,symbol_upcase,True
L1-enriched genes,Casp8,CASP8,mgi_ortholog,True
L1-enriched genes,Catsperb,CATSPERB,mgi_ortholog,True
L1-enriched genes,Cbr4,CBR4,mgi_ortholog,True
L1-enriched genes,Ccdc107,CCDC107,mgi_ortholog,True
L1-enriched genes,Ccdc150,CCDC150,mgi_ortholog,True
L1-enriched genes,Ccdc171,CCDC171,mgi_ortholog,True
L1-enriched genes,Ccdc68,CCDC68,mgi_ortholog,True
L1-enriched genes,Ccdc7b,CCDC7,mgi_ortholog,True
L1-enriched genes,Ccl21a,CCL21,mgi_ortholog,True
L1-enriched genes,Ccnh,CCNH,mgi_ortholog,True
L1-enriched genes,Ccr1,CCR1,mgi_ortholog,True
L1-enriched genes,Ccser1,CCSER1,mgi_ortholog,True
L1-enriched genes,Cd101,CD101,mgi_ortholog,True
L1-enriched genes,Cd1d2,CD1D,mgi_ortholog,True
L1-enriched genes,Cd200r1,CD200R1,symbol_upcase,True
L1-enriched genes,Cd200r3,,unmapped,False
L1-enriched genes,Cd200r4,,unmapped,False
L1-enriched genes,Cd209f,,unmapped,False
L1-enriched genes,Cd209g,,unmapped,False
L1-enriched genes,Cd226,CD226,mgi_ortholog,True
L1-enriched genes,Cd47,CD47,mgi_ortholog,True
L1-enriched genes,Cd48,CD48,mgi_ortholog,True
L1-enriched genes,Cd5l,CD5L,mgi_ortholog,True
L1-enriched genes,Cd86,CD86,mgi_ortholog,True
L1-enriched genes,Cdh12,CDH12,mgi_ortholog,True
L1-enriched genes,Cdh17,CDH17,mgi_ortholog,True
L1-enriched genes,Cdh19,CDH19,mgi_ortholog,True
L1-enriched genes,Cdh7,CDH7,mgi_ortholog,True
L1-enriched genes,Cdk17,CDK17,mgi_ortholog,True
L1-enriched genes,Ceacam5,CEACAM21,mgi_ortholog,True
L1-enriched genes,Cenpc1,CENPC,mgi_ortholog,True
L1-enriched genes,Cep112,CEP112,mgi_ortholog,True
L1-enriched genes,Cep126,CEP126,mgi_ortholog,True
L1-enriched genes,Ces1d,,unmapped,False
L1-enriched genes,Ces2d-ps,,unmapped,False
L1-enriched genes,Cfap69,CFAP69,mgi_ortholog,True
L1-enriched genes,Cfhr1,,unmapped,False
L1-enriched genes,Cgrrf1,CGRRF1,mgi_ortholog,True
L1-enriched genes,Chac2,CHAC2,mgi_ortholog,True
L1-enriched genes,Chia1,CHIA,mgi_ortholog,True
L1-enriched genes,Chil5,CHIA,mgi_ortholog,True
L1-enriched genes,Chil6,CHIA,mgi_ortholog,True
L1-enriched genes,Chst7,CHST7,mgi_ortholog,True
L1-enriched genes,Clca3a2,CLCA3P,mgi_ortholog,True
L1-enriched genes,Clca4b,CLCA4,mgi_ortholog,True
L1-enriched genes,Cldn12,CLDN12,mgi_ortholog,True
L1-enriched genes,Cldn34b4,CLDN34,mgi_ortholog,True
L1-enriched genes,Cldn34d,CLDN34,mgi_ortholog,True
L1-enriched genes,Clec1a,CLEC1A,mgi_ortholog,True
L1-enriched genes,Clec2h,CLEC2D,mgi_ortholog,True
L1-enriched genes,Clec4a4,CLEC4A,mgi_ortholog,True
L1-enriched genes,Clec4b1,CLEC4C,mgi_ortholog,True
L1-enriched genes,Clec4d,CLEC4D,mgi_ortholog,True
L1-enriched genes,Clec4n,CLEC6A,mgi_ortholog,True
L1-enriched genes,Cln3,CLN3,mgi_ortholog,True
L1-enriched genes,Cmbl,CMBL,mgi_ortholog,True
L1-enriched genes,Cmpk2,CMPK2,mgi_ortholog,True
L1-enriched genes,Cnbd1,CNBD1,mgi_ortholog,True
L1-enriched genes,Cndp1,CNDP1,mgi_ortholog,True
L1-enriched genes,Cntln,CNTLN,mgi_ortholog,True
L1-enriched genes,Cntn6,CNTN6,mgi_ortholog,True
L1-enriched genes,Cntnap5a,CNTNAP5,mgi_ortholog,True
L1-enriched genes,Col19a1,COL19A1,mgi_ortholog,True
L1-enriched genes,Col25a1,COL25A1,mgi_ortholog,True
L1-enriched genes,Col4a3bp,,unmapped,False
L1-enriched genes,Col4a5,COL4A5,mgi_ortholog,True
L1-enriched genes,Cops5,COPS5,mgi_ortholog,True
L1-enriched genes,Cox11,COX11,mgi_ortholog,True
L1-enriched genes,Cox16,COX16,mgi_ortholog,True
L1-enriched genes,Cpe,CPE,mgi_ortholog,True
L1-enriched genes,Cped1,CPED1,mgi_ortholog,True
L1-enriched genes,Cps1,CPS1,mgi_ortholog,True
L1-enriched genes,Cpxcr1,CPXCR1,mgi_ortholog,True
L1-enriched genes,Crisp3,CRISP3,symbol_upcase,True
L1-enriched genes,Crisp4,CRISP1,mgi_ortholog,True
L1-enriched genes,Cryga,CRYGA,mgi_ortholog,True
L1-enriched genes,Csgalnact2,CSGALNACT2,mgi_ortholog,True
L1-enriched genes,Csn1s2a,CSN1S2AP,mgi_ortholog,True
L1-enriched genes,Cts6,,unmapped,False
L1-enriched genes,Ctsll3,,unmapped,False
L1-enriched genes,Ctsr,,unmapped,False
L1-enriched genes,Cwh43,CWH43,mgi_ortholog,True
L1-enriched genes,Cyp2b13,CYP2B6,mgi_ortholog,True
L1-enriched genes,Cyp2b19,CYP2B6,mgi_ortholog,True
L1-enriched genes,Cyp2b9,CYP2B6,mgi_ortholog,True
L1-enriched genes,Cyp2c29,,unmapped,False
L1-enriched genes,Cyp2c37,,unmapped,False
L1-enriched genes,Cyp2c38,,unmapped,False
L1-enriched genes,Cyp2c39,,unmapped,False
L1-enriched genes,Cyp2c50,,unmapped,False
L1-enriched genes,Cyp2c54,CYP2C8,mgi_ortholog,True
L1-enriched genes,Cyp2c65,CYP2C8,mgi_ortholog,True
L1-enriched genes,Cyp2c66,CYP2C8,mgi_ortholog,True
L1-enriched genes,Cyp2c68,CYP2C8,mgi_ortholog,True
L1-enriched genes,Cyp2c70,,unmapped,False
L1-enriched genes,Cyp2j11,CYP2J2,mgi_ortholog,True
L1-enriched genes,Cyp2j8,CYP2J2,mgi_ortholog,True
L1-enriched genes,Cyp2j9,CYP2J2,mgi_ortholog,True
L1-enriched genes,Cyp2r1,CYP2R1,mgi_ortholog,True
L1-enriched genes,Cyp3a44,CYP3A5,mgi_ortholog,True
L1-enriched genes,Cyp4a12a,,unmapped,False
L1-enriched genes,Cyp4a12b,,unmapped,False
L1-enriched genes,Cyp4a29,,unmapped,False
L1-enriched genes,Cyp4a32,,unmapped,False
L1-enriched genes,Cypt14,,unmapped,False
L1-enriched genes,Cypt15,,unmapped,False
L1-enriched genes,Cypt4,,unmapped,False
L1-enriched genes,D3Ertd751e,C4orf33,mgi_ortholog,True
L1-enriched genes,D830013O20Rik,,unmapped,False
L1-enriched genes,Dcun1d1,DCUN1D1,mgi_ortholog,True
L1-enriched genes,Dcx,DCX,mgi_ortholog,True
L1-enriched genes,Ddx4,DDX4,mgi_ortholog,True
L1-enriched genes,Ddx58,,unmapped,False
L1-enriched genes,Defa25,DEFA5,mgi_ortholog,True
L1-enriched genes,Defb34,,unmapped,False
L1-enriched genes,Defb37,,unmapped,False
L1-enriched genes,Defb47,,unmapped,False
L1-enriched genes,Degs2,DEGS2,mgi_ortholog,True
L1-enriched genes,Dgkb,DGKB,mgi_ortholog,True
L1-enriched genes,Dip2c,DIP2C,mgi_ortholog,True
L1-enriched genes,Disp1,DISP1,mgi_ortholog,True
L1-enriched genes,Dlgap2,DLGAP2,mgi_ortholog,True
L1-enriched genes,Dmrta1,DMRTA1,mgi_ortholog,True
L1-enriched genes,Dnah14,DNAH14,mgi_ortholog,True
L1-enriched genes,Dnah7c,DNAH7,mgi_ortholog,True
L1-enriched genes,Dnah9,DNAH9,mgi_ortholog,True
L1-enriched genes,Dnajc13,DNAJC13,mgi_ortholog,True
L1-enriched genes,Dnajc2,DNAJC2,mgi_ortholog,True
L1-enriched genes,Dnajc25,DNAJC25,symbol_upcase,True
L1-enriched genes,Dnm1l,DNM1L,mgi_ortholog,True
L1-enriched genes,Dok6,DOK6,mgi_ortholog,True
L1-enriched genes,Dtx4,DTX4,mgi_ortholog,True
L1-enriched genes,Dynap,DYNAP,mgi_ortholog,True
L1-enriched genes,E2f5,E2F5,mgi_ortholog,True
L1-enriched genes,Ect2,ECT2,mgi_ortholog,True
L1-enriched genes,Ect2l,ECT2L,mgi_ortholog,True
L1-enriched genes,Eda,EDA,mgi_ortholog,True
L1-enriched genes,Edil3,EDIL3,mgi_ortholog,True
L1-enriched genes,Egfem1,EGFEM1P,mgi_ortholog,True
L1-enriched genes,Elk4,ELK4,mgi_ortholog,True
L1-enriched genes,Emc2,EMC2,mgi_ortholog,True
L1-enriched genes,Emcn,EMCN,mgi_ortholog,True
L1-enriched genes,Epha6,EPHA6,mgi_ortholog,True
L1-enriched genes,Epyc,EPYC,mgi_ortholog,True
L1-enriched genes,Eqtn,EQTN,mgi_ortholog,True
L1-enriched genes,Ercc6l2,ERCC6L2,mgi_ortholog,True
L1-enriched genes,Esp3,,unmapped,False
L1-enriched genes,Esp31,,unmapped,False
L1-enriched genes,Esp34,,unmapped,False
L1-enriched genes,Exoc6b,EXOC6B,mgi_ortholog,True
L1-enriched genes,F11,F11,mgi_ortholog,True
L1-enriched genes,F830016B08Rik,,unmapped,False
L1-enriched genes,Fam111a,FAM111A,mgi_ortholog,True
L1-enriched genes,Fam124b,FAM124B,mgi_ortholog,True
L1-enriched genes,Fam19a1,,unmapped,False
L1-enriched genes,Fam47c,FAM47C,symbol_upcase,True
L1-enriched genes,Fas,FAS,mgi_ortholog,True
L1-enriched genes,Fetub,FETUB,mgi_ortholog,True
L1-enriched genes,Fgd4,FGD4,mgi_ortholog,True
L1-enriched genes,Fgg,FGG,mgi_ortholog,True
L1-enriched genes,Fhl5,FHL5,mgi_ortholog,True
L1-enriched genes,Fkbp14,FKBP14,mgi_ortholog,True
L1-enriched genes,Flg,FLG,symbol_upcase,True
L1-enriched genes,Flt4,FLT4,mgi_ortholog,True
L1-enriched genes,Fmo1,FMO1,mgi_ortholog,True
L1-enriched genes,Fmr1nb,FMR1NB,mgi_ortholog,True
L1-enriched genes,Fntb,FNTB,symbol_upcase,True
L1-enriched genes,Furin,FURIN,mgi_ortholog,True
L1-enriched genes,Fut10,FUT10,symbol_upcase,True
L1-enriched genes,Fut8,FUT8,mgi_ortholog,True
L1-enriched genes,G6pd2,G6PD,mgi_ortholog,True
L1-enriched genes,Gab2,GAB2,symbol_upcase,True
L1-enriched genes,Gabra2,GABRA2,mgi_ortholog,True
L1-enriched genes,Gabra3,GABRA3,mgi_ortholog,True
L1-enriched genes,Gabra4,GABRA4,mgi_ortholog,True
L1-enriched genes,Gabrb3,GABRB3,mgi_ortholog,True
L1-enriched genes,Gabrg3,GABRG3,mgi_ortholog,True
L1-enriched genes,Galntl6,GALNTL6,mgi_ortholog,True
L1-enriched genes,Gatad1,GATAD1,mgi_ortholog,True
L1-enriched genes,Gbp8,GBP6,mgi_ortholog,True
L1-enriched genes,Gch1,GCH1,mgi_ortholog,True
L1-enriched genes,Ghitm,GHITM,mgi_ortholog,True
L1-enriched genes,Gif,,unmapped,False
L1-enriched genes,Gk2,GK2,mgi_ortholog,True
L1-enriched genes,Glcci1,GLCCI1,mgi_ortholog,True
L1-enriched genes,Glipr1l1,GLIPR1L1,mgi_ortholog,True
L1-enriched genes,Glmn,GLMN,mgi_ortholog,True
L1-enriched genes,Glra3,GLRA3,mgi_ortholog,True
L1-enriched genes,Gm10057,,unmapped,False
L1-enriched genes,Gm10058,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm10093,,unmapped,False
L1-enriched genes,Gm10096,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm10112,,unmapped,False
L1-enriched genes,Gm10116,,unmapped,False
L1-enriched genes,Gm10130,,unmapped,False
L1-enriched genes,Gm10147,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm10175,,unmapped,False
L1-enriched genes,Gm10230,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm10378,,unmapped,False
L1-enriched genes,Gm10408,,unmapped,False
L1-enriched genes,Gm10486,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm10487,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm10488,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm10542,,unmapped,False
L1-enriched genes,Gm10696,,unmapped,False
L1-enriched genes,Gm10697,,unmapped,False
L1-enriched genes,Gm11009,,unmapped,False
L1-enriched genes,Gm11146,,unmapped,False
L1-enriched genes,Gm11232,,unmapped,False
L1-enriched genes,Gm11236,,unmapped,False
L1-enriched genes,Gm11237,,unmapped,False
L1-enriched genes,Gm11238,,unmapped,False
L1-enriched genes,Gm11239,,unmapped,False
L1-enriched genes,Gm11360,,unmapped,False
L1-enriched genes,Gm11397,,unmapped,False
L1-enriched genes,Gm11487,,unmapped,False
L1-enriched genes,Gm11639,,unmapped,False
L1-enriched genes,Gm11756,,unmapped,False
L1-enriched genes,Gm11757,,unmapped,False
L1-enriched genes,Gm11758,,unmapped,False
L1-enriched genes,Gm12845,,unmapped,False
L1-enriched genes,Gm13023,,unmapped,False
L1-enriched genes,Gm13043,,unmapped,False
L1-enriched genes,Gm13078,,unmapped,False
L1-enriched genes,Gm13177,,unmapped,False
L1-enriched genes,Gm13741,,unmapped,False
L1-enriched genes,Gm13757,,unmapped,False
L1-enriched genes,Gm13762,,unmapped,False
L1-enriched genes,Gm13871,,unmapped,False
L1-enriched genes,Gm14408,,unmapped,False
L1-enriched genes,Gm14496,,unmapped,False
L1-enriched genes,Gm14525,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm14548,,unmapped,False
L1-enriched genes,Gm14632,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm14698,,unmapped,False
L1-enriched genes,Gm14819,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm14851,,unmapped,False
L1-enriched genes,Gm15091,,unmapped,False
L1-enriched genes,Gm15140,,unmapped,False
L1-enriched genes,Gm156,,unmapped,False
L1-enriched genes,Gm16405,,unmapped,False
L1-enriched genes,Gm16430,,unmapped,False
L1-enriched genes,Gm16440,,unmapped,False
L1-enriched genes,Gm17252,,unmapped,False
L1-enriched genes,Gm17359,,unmapped,False
L1-enriched genes,Gm17430,,unmapped,False
L1-enriched genes,Gm17521,,unmapped,False
L1-enriched genes,Gm17689,,unmapped,False
L1-enriched genes,Gm17727,,unmapped,False
L1-enriched genes,Gm1818,,unmapped,False
L1-enriched genes,Gm1840,,unmapped,False
L1-enriched genes,Gm2012,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm2030,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm2035,,unmapped,False
L1-enriched genes,Gm2042,,unmapped,False
L1-enriched genes,Gm20441,,unmapped,False
L1-enriched genes,Gm2046,,unmapped,False
L1-enriched genes,Gm20509,,unmapped,False
L1-enriched genes,Gm20594,,unmapped,False
L1-enriched genes,Gm20736,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm2075,,unmapped,False
L1-enriched genes,Gm20765,,unmapped,False
L1-enriched genes,Gm20767,,unmapped,False
L1-enriched genes,Gm20782,,unmapped,False
L1-enriched genes,Gm20792,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20814,,unmapped,False
L1-enriched genes,Gm20817,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20820,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20824,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20831,,unmapped,False
L1-enriched genes,Gm20835,,unmapped,False
L1-enriched genes,Gm20837,,unmapped,False
L1-enriched genes,Gm20838,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20843,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20850,,unmapped,False
L1-enriched genes,Gm20855,,unmapped,False
L1-enriched genes,Gm20869,,unmapped,False
L1-enriched genes,Gm20870,,unmapped,False
L1-enriched genes,Gm20883,,unmapped,False
L1-enriched genes,Gm20888,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20890,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20894,,unmapped,False
L1-enriched genes,Gm20896,,unmapped,False
L1-enriched genes,Gm20897,,unmapped,False
L1-enriched genes,Gm20903,,unmapped,False
L1-enriched genes,Gm20905,,unmapped,False
L1-enriched genes,Gm20906,,unmapped,False
L1-enriched genes,Gm20908,,unmapped,False
L1-enriched genes,Gm20911,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm20916,,unmapped,False
L1-enriched genes,Gm20920,,unmapped,False
L1-enriched genes,Gm20929,,unmapped,False
L1-enriched genes,Gm20931,,unmapped,False
L1-enriched genes,Gm20937,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21094,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21095,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21117,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21173,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21209,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21256,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21258,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21294,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21304,,unmapped,False
L1-enriched genes,Gm21312,,unmapped,False
L1-enriched genes,Gm21317,,unmapped,False
L1-enriched genes,Gm21366,,unmapped,False
L1-enriched genes,Gm21409,,unmapped,False
L1-enriched genes,Gm21454,,unmapped,False
L1-enriched genes,Gm21477,,unmapped,False
L1-enriched genes,Gm21488,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21497,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21518,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21627,,unmapped,False
L1-enriched genes,Gm21650,,unmapped,False
L1-enriched genes,Gm21739,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21760,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21761,,unmapped,False
L1-enriched genes,Gm21789,,unmapped,False
L1-enriched genes,Gm21858,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21861,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21865,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm21870,,unmapped,False
L1-enriched genes,Gm21883,,unmapped,False
L1-enriched genes,Gm21973,,unmapped,False
L1-enriched genes,Gm21994,,unmapped,False
L1-enriched genes,Gm21996,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm27235,,unmapped,False
L1-enriched genes,Gm28053,,unmapped,False
L1-enriched genes,Gm28102,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28490,,unmapped,False
L1-enriched genes,Gm28551,,unmapped,False
L1-enriched genes,Gm28553,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28576,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28827,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28870,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28891,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28897,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28961,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm28998,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm29110,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm29276,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm29394,,unmapped,False
L1-enriched genes,Gm29564,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm29582,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm29866,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm3043,,unmapped,False
L1-enriched genes,Gm30737,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm31571,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm3194,,unmapped,False
L1-enriched genes,Gm3278,,unmapped,False
L1-enriched genes,Gm3383,,unmapped,False
L1-enriched genes,Gm3411,,unmapped,False
L1-enriched genes,Gm35134,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm3532,,unmapped,False
L1-enriched genes,Gm364,,unmapped,False
L1-enriched genes,Gm3755,,unmapped,False
L1-enriched genes,Gm379,,unmapped,False
L1-enriched genes,Gm3952,,unmapped,False
L1-enriched genes,Gm428,,unmapped,False
L1-enriched genes,Gm4340,,unmapped,False
L1-enriched genes,Gm436,,unmapped,False
L1-enriched genes,Gm438,,unmapped,False
L1-enriched genes,Gm4778,,unmapped,False
L1-enriched genes,Gm4781,,unmapped,False
L1-enriched genes,Gm4836,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm4884,C2orf78,mgi_ortholog,True
L1-enriched genes,Gm4907,,unmapped,False
L1-enriched genes,Gm4950,,unmapped,False
L1-enriched genes,Gm4985,,unmapped,False
L1-enriched genes,Gm5117,,unmapped,False
L1-enriched genes,Gm5142,,unmapped,False
L1-enriched genes,Gm5155,,unmapped,False
L1-enriched genes,Gm5168,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm5169,SYCP3,mgi_ortholog,True
L1-enriched genes,Gm5218,,unmapped,False
L1-enriched genes,Gm5346,,unmapped,False
L1-enriched genes,Gm5422,,unmapped,False
L1-enriched genes,Gm5426,,unmapped,False
L1-enriched genes,Gm5519,,unmapped,False
L1-enriched genes,Gm5580,,unmapped,False
L1-enriched genes,Gm5689,,unmapped,False
L1-enriched genes,Gm5751,,unmapped,False
