GO Term Name,Functional Group
gamma-aminobutyric acid signaling pathway,Nervous system
GABA-A receptor activity,Nervous system
GABA-A receptor complex,Nervous system
chloride transport,Signaling pathways
positive regulation of neuron differentiation,Nervous system
negative chemotaxis,Cell migration
regulation of postsynapse organization,Nervous system
transferase activity,Other
embryonic hindlimb morphogenesis,Embryogenesis
postsynaptic density membrane,Nervous system
positive regulation of cell differentiation,Embryogenesis
adrenergic receptor signaling pathway,Signaling pathways
presynaptic active zone membrane,Nervous system
neuron migration,Cell migration
Schaffer collateral - CA1 synapse,Nervous system
GABA-ergic synapse,Nervous system
extracellular matrix,Extracellular matrix
aortic valve morphogenesis,Embryogenesis
positive regulation of cartilage development,Embryogenesis
intercalated disc,Cell adhesion
chloride transmembrane transport,Signaling pathways
cell-cell signaling,Signaling pathways
monoatomic ion transmembrane transport,Signaling pathways
positive regulation of cell population proliferation,Cell cycle/cell division
positive regulation of cell-substrate adhesion,Cell adhesion
dendritic spine morphogenesis,Nervous system
action potential,Nervous system
pulmonary valve morphogenesis,Embryogenesis
neuron projection,Nervous system
dendrite membrane,Nervous system
epithelial to mesenchymal transition involved in endocardial cushion formation,Embryogenesis
positive regulation of synapse assembly,Nervous system
regulation of postsynaptic membrane potential,Nervous system
heparin binding,Carbohydrates metabolism
positive regulation of bone mineralization,Embryogenesis
adrenergic receptor activity,Signaling pathways
regulation of heart rate by cardiac conduction,Nervous system
neurogenesis,Nervous system
chondrocyte differentiation,Embryogenesis
cell surface,Too general
cytokine activity,Other immune processes
membrane,Too general
nucleotide binding,Too general
hippocampus development,Nervous system
synapse organization,Nervous system
lung development,Embryogenesis
sequence-specific DNA binding,Transcription and its regulation
peptidase inhibitor activity,Protein ubiquitination and degradation
chloride channel complex,Signaling pathways
transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,Nervous system
ATP binding,Too general
modulation of chemical synaptic transmission,Nervous system
neurotransmitter secretion,Nervous system
cardiac muscle cell differentiation,Embryogenesis
"regulation of synaptic transmission, GABAergic",Nervous system
"synaptic transmission, GABAergic",Nervous system
translation,Ribosome biogenesis and translation itself
regulation of vasoconstriction,Other
neurotransmitter transport,Nervous system
transmembrane signaling receptor activity,Signaling pathways
potassium channel activity,Nervous system
positive regulation of Notch signaling pathway,Signaling pathways
centrosome,Cell cycle/cell division
mitochondrial matrix,Mitochondrion
chloride channel activity,Signaling pathways
benzodiazepine receptor activity,Nervous system
alpha2-adrenergic receptor activity,Signaling pathways
negative regulation of negative chemotaxis,Cell migration
protein folding,Other
sequence-specific double-stranded DNA binding,Transcription and its regulation
delayed rectifier potassium channel activity,Nervous system
mitochondrial inner membrane,Mitochondrion
ribonucleoprotein complex,Too general
outflow tract morphogenesis,Embryogenesis
keratinization,Embryogenesis
interleukin-1 binding,Other immune processes
heart looping,Embryogenesis
cardiac muscle contraction,Embryogenesis
neuron cell-cell adhesion,Cell adhesion
inner ear development,Sensory system
brain development,Nervous system
postsynaptic specialization membrane,Nervous system
negative regulation of cell differentiation,Embryogenesis
DNA-binding transcription factor activity,Transcription and its regulation
spinal cord association neuron differentiation,Nervous system
endocardial cushion development,Embryogenesis
atrial septum morphogenesis,Embryogenesis
odontogenesis,Embryogenesis
learning,Nervous system
heart development,Embryogenesis
receptor clustering,Signaling pathways
semaphorin-plexin signaling pathway,Signaling pathways
extrasynaptic signaling via GABA,Nervous system
trans-synaptic protein complex,Nervous system
heart induction,Embryogenesis
positive regulation of cell migration,Cell migration
epidermis development,Embryogenesis
positive regulation of DNA-templated transcription,Transcription and its regulation
secondary palate development,Embryogenesis
neuron development,Nervous system
extracellular ligand-gated monoatomic ion channel activity,Extracellular matrix
positive regulation of axonogenesis,Nervous system
regulation of presynapse assembly,Nervous system
regulation of cardiac muscle cell contraction,Embryogenesis
nervous system process,Nervous system
zinc ion binding,Metals metabolism
negative regulation of inner ear auditory receptor cell differentiation,Sensory system
embryonic limb morphogenesis,Embryogenesis
pituitary gland development,Embryogenesis
chromosome,Too general
regulation of cardiac muscle contraction,Embryogenesis
central nervous system neuron development,Nervous system
odorant binding,Sensory system
signaling receptor activity,Signaling pathways
positive regulation of gene expression,Transcription and its regulation
potassium channel activator activity,Nervous system
catenin complex,Cell adhesion
limb morphogenesis,Embryogenesis
DNA repair,DNA repair
positive regulation of ERK1 and ERK2 cascade,Signaling pathways
hydrolase activity,Other
social behavior,Nervous system
extracellular matrix structural constituent,Cytoskeleton
blood vessel remodeling,Embryogenesis
oligodendrocyte differentiation,Nervous system
positive regulation of excitatory postsynaptic potential,Nervous system
RNA polymerase II transcription regulatory region sequence-specific DNA binding,Transcription and its regulation
parallel fiber to Purkinje cell synapse,Nervous system
beta-catenin binding,Cell adhesion
motor neuron axon guidance,Nervous system
"regulation of synaptic transmission, glutamatergic",Nervous system
transmembrane transporter binding,Exosomes and vesicles
junctional sarcoplasmic reticulum membrane,Exosomes and vesicles
muscle organ morphogenesis,Embryogenesis
membrane repolarization during cardiac muscle cell action potential,Embryogenesis
somatic stem cell division,Cell cycle/cell division
glutamate-gated receptor activity,Nervous system
regulation of cell migration,Cell migration
regulation of DNA-templated transcription,Transcription and its regulation
DNA binding,Too general
"DNA-binding transcription factor activity, RNA polymerase II-specific",Transcription and its regulation
subcortical maternal complex,Embryogenesis
establishment of Sertoli cell barrier,Cell adhesion
rRNA binding,Ribosome biogenesis and translation itself
establishment of spindle localization,Cell cycle/cell division
structural constituent of ribosome,Ribosome biogenesis and translation itself
fatty acid catabolic process,Lipids metabolism
chromatin,Chromatin structure
positive regulation of transcription by RNA polymerase II,Transcription and its regulation
RNA polymerase II cis-regulatory region sequence-specific DNA binding,Transcription and its regulation
animal organ development,Embryogenesis
"synaptic transmission, glutamatergic",Nervous system
cell fate commitment,Embryogenesis
vocalization behavior,Nervous system
glutamate receptor activity,Nervous system
sympathetic ganglion development,Nervous system
muscle cell fate commitment,Embryogenesis
presynapse assembly,Nervous system
collagen fibril organization,Extracellular matrix
regulation of transcription by RNA polymerase II,Transcription and its regulation
positive regulation of mesenchymal cell proliferation,Cell cycle/cell division
adherens junction organization,Cell adhesion
cartilage condensation,Embryogenesis
synapse assembly,Nervous system
postsynaptic density,Nervous system
cellular response to transforming growth factor beta stimulus,Signaling pathways
ionotropic glutamate receptor signaling pathway,Nervous system
positive regulation of neural precursor cell proliferation,Cell cycle/cell division
"DNA-binding transcription activator activity, RNA polymerase II-specific",Transcription and its regulation
axon extension involved in axon guidance,Nervous system
semaphorin receptor activity,Signaling pathways
cell fate determination,Embryogenesis
neural crest cell migration,Cell migration
lung alveolus development,Embryogenesis
phosphoric diester hydrolase activity,Other
pattern specification process,Embryogenesis
glutamate-gated calcium ion channel activity,Nervous system
semaphorin receptor complex,Signaling pathways
ligand-gated monoatomic ion channel activity,Signaling pathways
excitatory synapse,Nervous system
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway,Signaling pathways
facial nerve structural organization,Nervous system
negative regulation of neuron differentiation,Nervous system
calcium ion binding,Metals metabolism
neuron differentiation,Nervous system
postsynapse,Nervous system
neuron fate specification,Nervous system
layer formation in cerebral cortex,Nervous system
regulation of presynaptic membrane potential,Nervous system
"3',5'-cyclic-AMP phosphodiesterase activity",Signaling pathways
skeletal muscle cell differentiation,Embryogenesis
inner ear morphogenesis,Sensory system
system development,Embryogenesis
ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential,Nervous system
AMPA glutamate receptor complex,Nervous system
trigeminal nerve structural organization,Nervous system
gonadotrophin-releasing hormone neuronal migration to the hypothalamus,Cell migration
mesenchymal-epithelial cell signaling,Signaling pathways
AMPA glutamate receptor activity,Nervous system
"3',5'-cyclic-GMP phosphodiesterase activity",Signaling pathways
"3',5'-cyclic-nucleotide phosphodiesterase activity",Signaling pathways
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,Signaling pathways
muscle organ development,Embryogenesis
cell-cell adhesion mediated by cadherin,Cell adhesion
ventral trunk neural crest cell migration,Cell migration
positive regulation of skeletal muscle cell differentiation,Embryogenesis
negative regulation of pro-B cell differentiation,Other immune processes
regulation of neurogenesis,Nervous system
positive regulation of osteoblast differentiation,Embryogenesis
peripheral nervous system development,Nervous system
epithelial to mesenchymal transition,Embryogenesis
juxtaparanode region of axon,Nervous system
E-box binding,Transcription and its regulation
branchiomotor neuron axon guidance,Nervous system
neural crest cell migration involved in autonomic nervous system development,Cell migration
potassium ion import across plasma membrane,Nervous system
smooth muscle cell differentiation,Embryogenesis
negative regulation of ossification,Embryogenesis
negative regulation of ERK1 and ERK2 cascade,Signaling pathways
regulation of postsynaptic neurotransmitter receptor internalization,Nervous system
sensory organ development,Sensory system
hippocampal mossy fiber to CA3 synapse,Nervous system
epithelial tube branching involved in lung morphogenesis,Embryogenesis
cochlea morphogenesis,Sensory system
cerebellar granule cell differentiation,Nervous system
forebrain neuron differentiation,Nervous system
mammary gland duct morphogenesis,Embryogenesis
positive regulation of myoblast differentiation,Embryogenesis
cellular response to cAMP,Signaling pathways
digestive tract development,Embryogenesis
positive regulation of BMP signaling pathway,Signaling pathways
wound healing,Other
ciliary basal body,Cytoskeleton
G protein-coupled glutamate receptor signaling pathway,Signaling pathways
ephrin receptor activity,Signaling pathways
retinal ganglion cell axon guidance,Nervous system
negative regulation of cell population proliferation,Cell cycle/cell division
skeletal muscle tissue development,Embryogenesis
negative regulation of cAMP/PKA signal transduction,Signaling pathways
dorsal/ventral pattern formation,Embryogenesis
basement membrane,Cell adhesion
metanephros morphogenesis,Embryogenesis
compartment pattern specification,Embryogenesis
sympathetic neuron projection guidance,Nervous system
negative regulation of DNA-templated transcription,Transcription and its regulation
regulation of synapse organization,Nervous system
protein localization to synapse,Nervous system
cell-cell junction assembly,Cell adhesion
homophilic cell-cell adhesion,Cell adhesion
transmembrane-ephrin receptor activity,Signaling pathways
organ growth,Embryogenesis
growth factor binding,Signaling pathways
receptor localization to synapse,Nervous system
cAMP catabolic process,Signaling pathways
branching involved in blood vessel morphogenesis,Embryogenesis
ventricular septum morphogenesis,Embryogenesis
cell-cell adhesion mediator activity,Cell adhesion
intracellular protein transport,Other
positive regulation of neuron apoptotic process,Cell death
PDZ domain binding,Signaling pathways
metal ion transport,Metals metabolism
positive regulation of epithelial to mesenchymal transition,Embryogenesis
sympathetic nervous system development,Nervous system
maintenance of synapse structure,Nervous system
lysosomal membrane,Exosomes and vesicles
hair follicle morphogenesis,Embryogenesis
Golgi lumen,Exosomes and vesicles
ribosome,Ribosome biogenesis and translation itself
caveola,Exosomes and vesicles
signaling receptor binding,Signaling pathways
neuron projection morphogenesis,Nervous system
neuromuscular junction development,Nervous system
transmembrane receptor protein tyrosine kinase activity,Signaling pathways
prostate gland epithelium morphogenesis,Embryogenesis
embryonic foregut morphogenesis,Embryogenesis
endocytic vesicle membrane,Exosomes and vesicles
in utero embryonic development,Embryogenesis
anatomical structure morphogenesis,Embryogenesis
kainate selective glutamate receptor activity,Nervous system
protein-lysine 6-oxidase activity,Other
neuroligin family protein binding,Nervous system
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",Other
epithelial cell differentiation involved in prostate gland development,Embryogenesis
central nervous system vasculogenesis,Embryogenesis
smooth muscle tissue development,Embryogenesis
kainate selective glutamate receptor complex,Nervous system
neuron recognition,Nervous system
adenylate cyclase inhibitor activity,Signaling pathways
collagen type XI trimer,Cytoskeleton
forebrain development,Nervous system
regulation of synapse assembly,Nervous system
cell junction,Cell adhesion
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,Signaling pathways
heterophilic cell-cell adhesion,Cell adhesion
mammary gland development,Embryogenesis
