Term ID	Term Name	Functional group	class_name	FDR	Fold Enrichment	Overlap Count
GO:0005730	nucleolus	Potential new group	LTR	5.27e-06	1.39	198.0
GO:0006397	mRNA processing	RNA splicing and processing	LTR	5.27e-06	1.56	134.0
GO:0006754	ATP biosynthetic process	Potential new group	LTR	5.27e-06	2.14	59.0
GO:0071011	precatalytic spliceosome	RNA splicing and processing	LTR	5.27e-06	3.15	38.0
GO:0016192	vesicle-mediated transport	Potential new group	LTR	5.36e-06	1.33	240.0
GO:0000245	spliceosomal complex assembly	Other	LTR	5.54e-06	2.47	48.0
GO:0001701	in utero embryonic development	Embryogenesis	LTR	6.60e-06	1.60	123.0
GO:1990446	U1 snRNP binding	Signaling pathways	LTR	6.60e-06	11.33	8.0
GO:0001181	RNA polymerase I general transcription initiation factor activity	Transcription and its regulation	LTR	7.41e-06	12.11	7.0
GO:0051301	cell division	Cell cycle/cell division	LTR	7.55e-06	1.51	147.0
GO:0005685	U1 snRNP	RNA splicing and processing	LTR	8.07e-06	3.44	32.0
GO:0055102	lipase inhibitor activity	Lipids metabolism	LTR	8.07e-06	15.14	5.0
GO:0140003	histone H3K36me3 reader activity	Chromatin structure	LTR	8.07e-06	15.14	5.0
GO:0031966	mitochondrial membrane	Potential new group	LTR	9.02e-06	1.35	219.0
GO:0006325	chromatin organization	Chromatin structure	LTR	1.05e-05	1.44	165.0
GO:0005887	integral component of plasma membrane	Too general	LTR	1.19e-05	1.21	314.0
GO:0003700	DNA-binding transcription factor activity	Transcription and its regulation	LTR	1.34e-05	1.34	226.0
GO:0005740	mitochondrial envelope	Potential new group	LTR	1.34e-05	1.32	243.0
GO:0006369	termination of RNA polymerase II transcription	Transcription and its regulation	LTR	1.34e-05	2.65	41.0
GO:0019899	enzyme binding	Too general	LTR	1.46e-05	1.36	198.0
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	Transcription and its regulation	LTR	1.59e-05	1.37	189.0
GO:0006355	regulation of DNA-templated transcription	Transcription and its regulation	LTR	1.68e-05	1.22	398.0
GO:0016071	mRNA metabolic process	Transcription and its regulation	LTR	1.77e-05	1.34	212.0
GO:0034641	cellular nucleobase-containing compound metabolic process	Transcription and its regulation	LTR	1.85e-05	1.22	400.0
GO:0005515	protein binding	Too general	DNA	1.51e-13	1.28	467.0
GO:0005737	cytoplasm	Too general	DNA	4.44e-12	1.23	494.0
GO:0016020	membrane	Too general	DNA	1.69e-11	1.22	510.0
GO:0005654	nucleoplasm	Too general	DNA	7.30e-09	1.30	396.0
GO:0006281	DNA repair	DNA repair	DNA	9.45e-09	2.03	86.0
GO:0036064	ciliary basal body	Cytoskeleton	DNA	1.01e-08	3.32	40.0
GO:0005886	plasma membrane	Too general	DNA	1.13e-08	1.22	423.0
GO:0005634	nucleus	Too general	DNA	1.36e-08	1.16	546.0
GO:0006974	DNA damage response	DNA repair	DNA	1.36e-08	1.73	131.0
GO:0004386	helicase activity	DNA replication	DNA	2.37e-08	2.18	67.0
GO:0005819	spindle	Cell cycle/cell division	DNA	2.37e-08	1.79	131.0
GO:0097190	apoptotic signaling pathway	Cell death	DNA	2.37e-08	1.96	91.0
GO:0010759	positive regulation of macrophage chemotaxis	Cell migration	DNA	2.65e-08	11.38	10.0
GO:0006310	DNA recombination	DNA recombination	DNA	3.29e-08	2.60	47.0
GO:0060020	Bergmann glial cell differentiation	Nervous system	DNA	3.29e-08	11.04	10.0
GO:0038127	ERBB signaling pathway	Signaling pathways	DNA	5.43e-08	3.24	38.0
GO:0005684	U2-type spliceosomal complex	Other	DNA	5.85e-08	3.17	39.0
GO:0000723	telomere maintenance	DNA replication	DNA	6.51e-08	3.01	42.0
GO:0031663	lipopolysaccharide-mediated signaling pathway	Other immune processes	DNA	6.51e-08	2.46	62.0
GO:0006312	mitotic recombination	DNA recombination	DNA	1.21e-07	4.48	23.0
GO:0005829	cytosol	Too general	DNA	1.34e-07	1.31	330.0
GO:0061514	interleukin-34-mediated signaling pathway	Signaling pathways	DNA	1.34e-07	10.15	10.0
GO:0005794	Golgi apparatus	Potential new group	DNA	1.59e-07	1.31	332.0
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	Transcription and its regulation	DNA	1.96e-07	1.44	210.0
GO:0003700	DNA-binding transcription factor activity	Transcription and its regulation	DNA	1.96e-07	1.42	225.0
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Transcription and its regulation	DNA	2.29e-07	1.51	173.0
GO:0006357	regulation of transcription by RNA polymerase II	Transcription and its regulation	DNA	2.29e-07	1.33	292.0
GO:0006355	regulation of DNA-templated transcription	Transcription and its regulation	DNA	3.29e-07	1.23	427.0
GO:0006412	translation	Ribosome biogenesis and translation itself	DNA	3.29e-07	1.64	148.0
GO:0003677	DNA binding	Transcription and its regulation	DNA	4.01e-07	1.27	382.0
GO:0043565	sequence-specific DNA binding	Transcription and its regulation	DNA	4.01e-07	1.42	215.0
GO:0000122	negative regulation of transcription by RNA polymerase II	Transcription and its regulation	DNA	5.43e-07	1.48	178.0
GO:0009952	anterior/posterior pattern specification	Embryogenesis	DNA	5.43e-07	2.03	78.0
GO:0007399	nervous system development	Nervous system	DNA	5.85e-07	1.24	412.0
GO:0048704	embryonic skeletal system morphogenesis	Embryogenesis	DNA	5.85e-07	2.65	42.0
GO:0030182	neuron differentiation	Nervous system	DNA	6.51e-07	1.33	284.0
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	Transcription and its regulation	DNA	7.02e-07	1.49	171.0
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	Transcription and its regulation	DNA	8.07e-07	1.61	133.0
GO:0003723	RNA binding	Transcription and its regulation	DNA	8.07e-07	1.31	332.0
GO:0005667	transcription regulator complex	Transcription and its regulation	DNA	8.07e-07	1.53	161.0
GO:0048706	embryonic skeletal system development	Embryogenesis	DNA	8.07e-07	2.52	46.0
GO:0009653	anatomical structure morphogenesis	Embryogenesis	DNA	8.51e-07	1.32	300.0
GO:0001501	skeletal system development	Embryogenesis	DNA	9.31e-07	1.40	232.0
GO:0030900	forebrain development	Nervous system	DNA	9.31e-07	1.77	115.0
GO:0030326	embryonic limb morphogenesis	Embryogenesis	DNA	1.05e-06	2.81	37.0
GO:0007411	axon guidance	Nervous system	DNA	1.12e-06	1.65	144.0
GO:0007420	brain development	Nervous system	DNA	1.12e-06	1.43	225.0
GO:0000976	transcription cis-regulatory region binding	Transcription and its regulation	DNA	1.19e-06	1.50	171.0
GO:0009954	proximal/distal pattern formation	Embryogenesis	DNA	1.19e-06	4.15	22.0
GO:0045892	negative regulation of DNA-templated transcription	Transcription and its regulation	DNA	1.19e-06	1.38	215.0
GO:0009953	dorsal/ventral pattern formation	Embryogenesis	DNA	1.26e-06	2.91	34.0
GO:0007389	pattern specification process	Embryogenesis	DNA	1.34e-06	1.62	147.0
GO:0035115	embryonic forelimb morphogenesis	Embryogenesis	DNA	1.34e-06	3.88	23.0
GO:0003682	chromatin binding	Transcription and its regulation	DNA	1.43e-06	1.58	139.0
GO:0045165	cell fate commitment	Embryogenesis	DNA	1.43e-06	2.16	63.0
GO:0048665	neuron fate specification	Nervous system	DNA	1.43e-06	3.01	32.0
GO:0007506	gonadal mesoderm development	Embryogenesis	DNA	1.59e-06	5.54	15.0
GO:0042472	inner ear morphogenesis	Sensory system	DNA	1.59e-06	3.88	22.0
GO:0001709	cell fate determination	Embryogenesis	DNA	1.77e-06	2.22	58.0
Term ID	Term Name	Functional group	class_name	FDR	Fold Enrichment	Overlap Count
GO:0001656	metanephros development	Embryogenesis	DNA	1.81e-06	2.37	49.0
GO:0051216	cartilage development	Embryogenesis	DNA	1.81e-06	2.11	67.0
GO:0003151	outflow tract morphogenesis	Embryogenesis	DNA	2.11e-06	3.44	26.0
GO:0060021	roof of mouth development	Embryogenesis	DNA	2.11e-06	8.43	9.0
GO:0021772	olfactory bulb development	Nervous system	DNA	2.16e-06	4.15	19.0
GO:0035116	embryonic hindlimb morphogenesis	Embryogenesis	DNA	2.16e-06	4.35	18.0
GO:0048468	cell development	Embryogenesis	DNA	2.37e-06	1.26	372.0
GO:0071837	HMG box domain binding	Transcription and its regulation	DNA	2.37e-06	3.44	26.0
GO:0099560	synaptic membrane adhesion	Cell adhesion	DNA	2.37e-06	3.90	21.0
GO:0045665	negative regulation of neuron differentiation	Nervous system	DNA	2.55e-06	1.85	86.0
GO:0010468	regulation of gene expression	Transcription and its regulation	DNA	2.65e-06	1.22	459.0
GO:0001708	cell fate specification	Embryogenesis	DNA	2.84e-06	2.46	43.0
GO:0060037	pharyngeal system development	Embryogenesis	DNA	2.84e-06	3.05	30.0
GO:0042733	embryonic digit morphogenesis	Embryogenesis	DNA	2.91e-06	3.83	21.0
GO:0001764	neuron migration	Cell migration	DNA	3.15e-06	2.03	66.0
GO:0042474	middle ear morphogenesis	Sensory system	DNA	3.15e-06	4.78	15.0
GO:0045666	positive regulation of neuron differentiation	Nervous system	DNA	3.15e-06	1.77	101.0
GO:0007409	axonogenesis	Nervous system	DNA	3.29e-06	1.64	129.0
GO:0010628	positive regulation of gene expression	Embryogenesis	DNA	3.29e-06	1.27	330.0
GO:0048935	peripheral nervous system neuron development	Nervous system	DNA	3.29e-06	3.44	25.0
GO:0009887	animal organ morphogenesis	Embryogenesis	DNA	3.42e-06	1.44	196.0
GO:0008045	motor neuron axon guidance	Nervous system	DNA	3.83e-06	3.97	20.0
GO:0048663	neuron fate commitment	Nervous system	DNA	3.83e-06	3.83	21.0
GO:0048701	embryonic cranial skeleton morphogenesis	Embryogenesis	DNA	3.83e-06	3.58	23.0
GO:0007519	skeletal muscle tissue development	Embryogenesis	DNA	4.21e-06	2.01	65.0
GO:0048731	system development	Embryogenesis	DNA	4.21e-06	1.19	503.0
GO:0051965	positive regulation of synapse assembly	Nervous system	DNA	4.21e-06	4.05	19.0
GO:0048839	inner ear development	Sensory system	DNA	4.48e-06	2.16	54.0
GO:0007423	sensory organ development	Sensory system	DNA	4.69e-06	1.61	133.0
GO:0000987	cis-regulatory region sequence-specific DNA binding	Transcription and its regulation	DNA	4.88e-06	1.51	158.0
GO:0001655	urogenital system development	Embryogenesis	DNA	4.88e-06	1.73	107.0
GO:0001657	ureteric bud development	Embryogenesis	DNA	4.88e-06	4.21	18.0
GO:0007507	heart development	Embryogenesis	DNA	4.88e-06	1.60	134.0
GO:0010467	gene expression	Transcription and its regulation	DNA	4.88e-06	1.18	539.0
GO:0048646	anatomical structure formation involved in morphogenesis	Embryogenesis	DNA	4.88e-06	1.35	250.0
GO:0043524	negative regulation of neuron apoptotic process	Nervous system	DNA	5.36e-06	2.41	43.0
GO:0031016	pancreas development	Embryogenesis	DNA	5.36e-06	2.18	52.0
GO:0021983	pituitary gland development	Embryogenesis	DNA	5.54e-06	3.24	26.0
GO:0030902	hindbrain development	Nervous system	DNA	5.54e-06	2.03	61.0
GO:0071542	dopaminergic neuron differentiation	Nervous system	DNA	5.54e-06	3.44	24.0
GO:0001569	branching involved in blood vessel morphogenesis	Embryogenesis	DNA	5.85e-06	2.81	32.0
GO:0001945	lymph vessel development	Embryogenesis	DNA	6.11e-06	3.10	27.0
GO:0060272	embryonic skeletal joint morphogenesis	Embryogenesis	DNA	6.11e-06	5.43	13.0
GO:0070888	E-box binding	Transcription and its regulation	DNA	6.11e-06	3.17	26.0
GO:0002053	positive regulation of mesenchymal cell proliferation	Embryogenesis	DNA	6.60e-06	2.37	44.0
GO:0042734	presynaptic membrane	Nervous system	DNA	6.60e-06	2.41	42.0
GO:0030324	lung development	Embryogenesis	DNA	7.41e-06	2.03	59.0
GO:0050679	positive regulation of epithelial cell proliferation	Embryogenesis	DNA	7.41e-06	2.11	53.0
GO:0045597	positive regulation of cell differentiation	Embryogenesis	DNA	7.55e-06	1.44	181.0
GO:0048485	sympathetic nervous system development	Nervous system	DNA	7.55e-06	3.17	25.0
GO:0060412	ventricular septum morphogenesis	Embryogenesis	DNA	7.55e-06	3.88	19.0
GO:0003357	noradrenergic neuron differentiation	Nervous system	DNA	8.07e-06	10.60	7.0
GO:0021520	spinal cord motor neuron cell fate specification	Nervous system	DNA	8.07e-06	7.55	10.0
GO:0032330	regulation of chondrocyte differentiation	Embryogenesis	DNA	8.07e-06	3.17	25.0
GO:0090103	cochlea morphogenesis	Sensory system	DNA	8.07e-06	4.48	14.0
GO:0048705	skeletal system morphogenesis	Embryogenesis	DNA	9.02e-06	1.96	63.0
GO:0001756	somitogenesis	Embryogenesis	DNA	9.31e-06	2.65	35.0
GO:0001221	transcription coregulator binding	Transcription and its regulation	DNA	9.71e-06	1.68	105.0
GO:0001822	kidney development	Embryogenesis	DNA	9.71e-06	1.66	110.0
GO:0003323	type B pancreatic cell development	Embryogenesis	DNA	9.84e-06	5.43	12.0
GO:0035295	tube development	Embryogenesis	DNA	9.84e-06	1.58	129.0
GO:0048557	embryonic digestive tract morphogenesis	Embryogenesis	DNA	1.05e-05	3.24	24.0
GO:0035137	hindlimb morphogenesis	Embryogenesis	DNA	1.12e-05	2.65	34.0
GO:0061549	sympathetic ganglion development	Embryogenesis	DNA	1.12e-05	5.16	13.0
GO:0003007	heart morphogenesis	Embryogenesis	DNA	1.17e-05	2.41	41.0
GO:0030878	thyroid gland development	Embryogenesis	DNA	1.17e-05	4.05	17.0
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	Transcription and its regulation	DNA	1.17e-05	2.52	37.0
GO:0016740	transferase activity	Too general	DNA	1.19e-05	1.17	369.0
GO:0001658	branching involved in ureteric bud morphogenesis	Embryogenesis	DNA	1.26e-05	4.48	15.0
GO:0035108	limb morphogenesis	Embryogenesis	DNA	1.26e-05	1.98	58.0
GO:0005789	endoplasmic reticulum membrane	Too general	DNA	1.34e-05	1.37	171.0
GO:0051145	smooth muscle cell differentiation	Embryogenesis	DNA	1.34e-05	2.18	47.0
GO:0021889	olfactory bulb interneuron differentiation	Nervous system	DNA	1.43e-05	5.30	12.0
GO:0030539	male genitalia development	Embryogenesis	DNA	1.43e-05	3.44	20.0
GO:0021902	commitment of neuronal cell to specific neuron type in forebrain	Nervous system	DNA	1.51e-05	5.30	12.0
GO:0099054	presynapse assembly	Nervous system	DNA	1.51e-05	3.90	17.0
GO:0016567	protein ubiquitination	Protein ubiquitination and degradation	DNA	1.59e-05	1.48	138.0
GO:0031018	endocrine pancreas development	Embryogenesis	DNA	1.59e-05	2.98	26.0
GO:0050839	cell adhesion molecule binding	Cell adhesion	DNA	1.59e-05	1.54	115.0
GO:0021766	hippocampus development	Nervous system	DNA	1.68e-05	2.55	34.0
GO:0030850	prostate gland development	Embryogenesis	DNA	1.68e-05	3.58	19.0
GO:0043010	camera-type eye development	Sensory system	DNA	1.68e-05	2.18	45.0
GO:0043588	skin development	Embryogenesis	DNA	1.68e-05	1.77	81.0
GO:0001843	neural tube closure	Embryogenesis	DNA	1.77e-05	4.05	16.0
GO:0021522	spinal cord motor neuron differentiation	Nervous system	DNA	1.77e-05	4.15	15.0
GO:0050767	regulation of neurogenesis	Nervous system	DNA	1.77e-05	1.41	165.0
GO:0008285	negative regulation of cell population proliferation	Cell cycle/cell division	DNA	1.85e-05	1.46	139.0
GO:0030514	negative regulation of BMP signaling pathway	Signaling pathways	DNA	1.85e-05	3.24	21.0
GO:0003148	outflow tract septum morphogenesis	Embryogenesis	DNA	1.96e-05	5.30	11.0
GO:0030879	mammary gland development	Embryogenesis	DNA	1.96e-05	2.46	36.0
GO:0008406	gonad development	Embryogenesis	DNA	2.03e-05	1.93	56.0
GO:0021978	telencephalon regionalization	Embryogenesis	DNA	2.03e-05	4.21	15.0
GO:0021521	ventral spinal cord interneuron specification	Nervous system	DNA	2.11e-05	6.83	9.0
GO:0060931	sinoatrial node cell development	Embryogenesis	DNA	2.11e-05	6.83	9.0
GO:0048666	neuron development	Nervous system	DNA	2.16e-05	1.33	225.0
GO:0048513	animal organ development	Too general	DNA	2.18e-05	1.17	448.0
GO:0002062	chondrocyte differentiation	Embryogenesis	DNA	2.29e-05	2.37	38.0
GO:0030534	adult behavior	Nervous system	DNA	2.29e-05	1.85	61.0
GO:0060065	uterus development	Embryogenesis	DNA	2.29e-05	3.10	23.0
GO:0001947	heart looping	Embryogenesis	DNA	2.40e-05	5.30	11.0
GO:0098982	GABA-ergic synapse	Nervous system	DNA	2.40e-05	2.33	39.0
GO:0007417	central nervous system development	Nervous system	DNA	2.55e-05	1.38	171.0
GO:0003272	endocardial cushion formation	Embryogenesis	DNA	2.65e-05	4.35	14.0
GO:0022008	neurogenesis	Nervous system	DNA	2.65e-05	1.31	243.0
GO:0006629	lipid metabolic process	Lipids metabolism	DNA	2.70e-05	1.37	171.0
GO:0007219	Notch signaling pathway	Signaling pathways	DNA	2.70e-05	2.22	42.0
GO:0007605	sensory perception of sound	Sensory system	DNA	2.70e-05	1.91	56.0
GO:0140297	DNA-binding transcription factor binding	Signaling pathways	DNA	2.70e-05	1.68	91.0
GO:0060425	lung morphogenesis	Embryogenesis	DNA	2.84e-05	2.60	31.0
GO:0021527	spinal cord association neuron differentiation	Nervous system	DNA	2.91e-05	3.44	20.0
GO:0001823	mesonephros development	Embryogenesis	DNA	3.06e-05	3.58	18.0
GO:0021846	cell proliferation in forebrain	Nervous system	DNA	3.06e-05	2.75	27.0
GO:0071300	cellular response to retinoic acid	Signaling pathways	DNA	3.06e-05	2.37	35.0
GO:0045638	negative regulation of myeloid cell differentiation	Other immune processes	DNA	3.15e-05	2.70	28.0
GO:0001755	neural crest cell migration	Cell migration	DNA	3.29e-05	2.18	42.0
GO:0090090	negative regulation of canonical Wnt signaling pathway	Signaling pathways	DNA	3.29e-05	2.29	38.0
GO:0050804	modulation of chemical synaptic transmission	Nervous system	DNA	3.42e-05	1.73	72.0
GO:0001707	mesoderm development	Embryogenesis	DNA	3.56e-05	1.91	54.0
GO:0045211	postsynaptic density membrane	Nervous system	DNA	3.56e-05	3.32	21.0
GO:0007510	embryonic heart tube development	Embryogenesis	DNA	3.63e-05	5.16	11.0
GO:0001710	mesodermal cell fate specification	Embryogenesis	DNA	3.83e-05	4.15	14.0
GO:0001825	nephric duct morphogenesis	Embryogenesis	DNA	3.83e-05	5.30	10.0
GO:0035144	outer ear morphogenesis	Sensory system	DNA	3.83e-05	4.78	11.0
GO:0021591	facial nerve structural organization	Embryogenesis	DNA	4.05e-05	12.11	5.0
GO:0060970	coronary artery morphogenesis	Embryogenesis	DNA	4.05e-05	4.21	13.0
GO:0035114	forelimb morphogenesis	Embryogenesis	DNA	4.21e-05	2.33	34.0
GO:0030901	midbrain development	Nervous system	DNA	4.48e-05	2.41	31.0
GO:0021703	cerebellar Purkinje cell differentiation	Nervous system	DNA	4.69e-05	4.48	12.0
GO:0001706	endoderm formation	Embryogenesis	DNA	4.88e-05	4.21	13.0
GO:0001654	eye development	Sensory system	DNA	5.02e-05	1.64	81.0
GO:0010718	positive regulation of epithelial to mesenchymal transition	Embryogenesis	DNA	5.02e-05	2.33	32.0
GO:0035904	artery morphogenesis	Embryogenesis	DNA	5.16e-05	2.55	28.0
GO:0007517	muscle organ development	Embryogenesis	DNA	5.27e-05	1.58	91.0
GO:0001568	blood vessel development	Embryogenesis	DNA	5.36e-05	1.44	133.0
GO:0035176	social behavior	Nervous system	DNA	5.54e-05	2.60	27.0
GO:0043113	receptor clustering	Signaling pathways	DNA	5.85e-05	3.44	18.0
GO:0045213	postsynaptic membrane	Nervous system	DNA	5.85e-05	2.18	38.0
GO:0042127	positive regulation of cell population proliferation	Cell cycle/cell division	DNA	6.11e-05	1.24	263.0
GO:0042127	regulation of cell population proliferation	Cell cycle/cell division	DNA	6.11e-05	1.23	272.0
GO:0001649	osteoblast differentiation	Embryogenesis	DNA	6.60e-05	1.93	50.0
GO:0070857	odontogenesis of dentin-containing tooth	Embryogenesis	DNA	6.83e-05	6.41	7.0
GO:0021537	cerebellum development	Nervous system	DNA	7.02e-05	1.85	56.0
GO:0021885	layer formation in cerebral cortex	Nervous system	DNA	7.02e-05	5.16	9.0
GO:0060070	canonical Wnt signaling pathway	Signaling pathways	DNA	7.02e-05	1.96	48.0
GO:0031647	regulation of protein stability	Protein ubiquitination and degradation	DNA	7.41e-05	1.82	59.0
GO:0048669	collateral sprouting	Nervous system	DNA	7.41e-05	8.43	6.0
GO:0051963	regulation of presynapse assembly	Nervous system	DNA	7.41e-05	4.05	13.0
GO:0042633	hair follicle development	Embryogenesis	DNA	7.55e-05	2.46	29.0
Term ID	Term Name	Functional group	class_name	FDR	Fold Enrichment	Overlap Count
GO:0042692	skeletal muscle cell differentiation	Embryogenesis	DNA	7.55e-05	2.18	39.0
GO:0016787	hydrolase activity	Too general	DNA	7.71e-05	1.13	342.0
GO:0048339	paraxial mesoderm formation	Embryogenesis	DNA	8.07e-05	5.30	8.0
GO:0048665	forebrain neuron development	Nervous system	DNA	8.07e-05	2.41	30.0
GO:0048664	neuron fate determination	Embryogenesis	DNA	8.07e-05	3.24	18.0
GO:0098977	gephyrin clustering involved in postsynaptic density assembly	Nervous system	DNA	8.07e-05	12.11	4.0
GO:0051964	negative regulation of synapse assembly	Nervous system	DNA	8.32e-05	5.43	8.0
GO:0060370	soft palate development	Embryogenesis	DNA	8.32e-05	6.83	6.0
GO:0097119	postsynaptic density protein 95 clustering	Nervous system	DNA	8.32e-05	10.60	4.0
GO:0060041	retina development in camera-type eye	Sensory system	DNA	8.51e-05	2.11	43.0
GO:0021987	cerebral cortex development	Nervous system	DNA	9.31e-05	1.77	66.0
GO:0071773	cellular response to BMP stimulus	Signaling pathways	DNA	9.31e-05	1.93	48.0
GO:0021530	central nervous system neuron differentiation	Nervous system	DNA	9.71e-05	1.91	49.0
GO:0021794	thalamus development	Nervous system	DNA	9.71e-05	4.05	12.0
GO:0001702	primitive streak formation	Embryogenesis	DNA	9.84e-05	5.16	8.0
GO:0005768	endosome	Potential new group	DNA	9.98e-05	1.33	165.0
GO:0021757	habenula development	Nervous system	DNA	9.98e-05	10.60	4.0
GO:0048596	neural crest cell development	Embryogenesis	DNA	9.98e-05	1.91	49.0
GO:0021617	rhombomere 3 development	Nervous system	DNA	0.00011	11.04	4.0
GO:0007421	sensory system development	Sensory system	DNA	0.00011	1.51	122.0
